Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time,Rating
Ford Focus  1.6L  Ambiente (Sedan) 2014,Ford ,Focus ,2014.0,Automatic,110000.0,25000," Mar 19, 2021",10
Toyota Yaris Sedan  1.3 S 2010,Toyota ,Yaris ,2010.0,Automatic,160000.0,18000," Mar 19, 2021",10
Ford Expedition EL  3.5L XL 2010,Ford ,Expedition ,2010.0,Automatic,3930.0,30000," Mar 19, 2021",10
Hyundai Accent 1.4L GL 2017,Hyundai ,Accent ,2017.0,Automatic,78000.0,30000," Mar 18, 2021",10
Toyota Land Cruiser  4.6L GXR 2010,Toyota ,Land ,2010.0,Automatic,316637.0,95000," Mar 18, 2021",10
Ford Figo 2017,Ford ,Figo ,2017.0,Automatic,78000.0,24000," Mar 17, 2021",10
Toyota Yaris  1.5L S (CVT) 2009,Toyota ,Yaris ,2009.0,CVT,200000.0,14000," Mar 17, 2021",10
Hyundai Elantra  1.6L 2011,Hyundai ,Elantra ,2011.0,Automatic,25800.0,17500," Mar 17, 2021",10
Ford Explorer  3.5L V6 XLT 2010,Ford ,Explorer ,2010.0,Automatic,110000.0,25000," Mar 15, 2021",10
Toyota Yaris  1.3L SE 2013,Toyota ,Yaris ,2013.0,Automatic,181000.0,17000," Mar 15, 2021",10
Toyota Yaris  1.3L SE 2016,Toyota ,Yaris ,2016.0,Automatic,168000.0,24500," Mar 15, 2021",10
Hyundai Elantra 2014,Hyundai ,Elantra ,2014.0,Automatic,111000.0,30000," Mar 11, 2021",10
Hyundai Genesis Coupe  3.8L 2010,Hyundai ,Genesis ,2010.0,Automatic,95500.0,35000," Mar 10, 2021",10
Hyundai Genesis Coupe  3.8L 2010,Hyundai ,Genesis ,2010.0,Automatic,95500.0,35000," Mar 10, 2021",10
Toyota Yaris  1.5L S (CVT) 2020,Toyota ,Yaris ,2020.0,Automatic,14000.0,46500," Mar 10, 2021",10
Toyota Yaris Sedan  1.5L YX (CVT) 2020,Toyota ,Yaris ,2020.0,Automatic,14000.0,46000," Mar 10, 2021",10
Toyota Yaris 2017,Toyota ,Yaris ,2017.0,Automatic,75000.0,35000," Mar 09, 2021",10
Hyundai Elantra  1.6L 2005,Hyundai ,Elantra ,2005.0,Automatic,400000.0,11000," Mar 09, 2021",10
Hyundai Elantra  1.6L 2012,Hyundai ,Elantra ,2012.0,Automatic,145000.0,17000," Mar 08, 2021",10
Hyundai Creta  1.6L Basic 2020,Hyundai ,Creta ,2020.0,Automatic,16300.0,55000," Mar 08, 2021",10
Ford Focus  1.6L 2014,Ford ,Focus ,2014.0,Automatic,197000.0,16000," Mar 08, 2021",10
Toyota Camry  2.5L GLX 2007,Toyota ,Camry ,2007.0,Automatic,182000.0,18000," Mar 08, 2021",10
Toyota Corolla  1.6L XLI 2017,Toyota ,Corolla ,2017.0,CVT,75000.0,36000," Mar 07, 2021",10
Toyota Corolla  1.6L XLI 2017,Toyota ,Corolla ,2017.0,CVT,83000.0,33500," Mar 07, 2021",10
Toyota Corolla  1.6L XLI 2013,Toyota ,Corolla ,2013.0,CVT,181000.0,23000," Mar 07, 2021",10
Ford Edge  Ambient 2007,Ford ,Edge ,2007.0,Automatic,233000.0,16000," Mar 07, 2021",10
Toyota Camry 2.5L GLE 178 HP 2006,Toyota ,Camry ,2006.0,Automatic,550000.0,17000," Mar 07, 2021",10
Toyota Yaris 2015,Toyota ,Yaris ,2015.0,Automatic,120000.0,25000," Mar 04, 2021",10
Hyundai Accent  1.4L GL 2015,Hyundai ,Accent ,2015.0,Automatic,119998.0,25000," Mar 04, 2021",10
Hyundai Accent  1.4L 2002,Hyundai ,Accent ,2002.0,Automatic,431000.0,10000," Mar 04, 2021",10
Hyundai Elantra  1.6L 2014,Hyundai ,Elantra ,2014.0,Automatic,173000.0,17000," Mar 04, 2021",10
Toyota Camry  2.5L GLX 2014,Toyota ,Camry ,2014.0,Automatic,80300.0,43000," Mar 03, 2021",10
Toyota Yaris  1.3L SE 2016,Toyota ,Yaris ,2016.0,Automatic,139000.0,26000," Mar 03, 2021",10
Toyota Camry  2.5L GLX 1999,Toyota ,Camry ,1999.0,Automatic,500000.0,8000," Mar 03, 2021",10
Hyundai Accent  1.4L 2020,Hyundai ,Accent ,2020.0,Automatic,47000.0,35500," Mar 03, 2021",10
Toyota Corolla  1.6L XLI 2016,Toyota ,Corolla ,2016.0,CVT,98000.0,27000," Mar 03, 2021",10
Ford Ranger  2.2L Double Cab (Base) Hi-Rider 4X4 M/T 2011,Ford ,Ranger ,2011.0,Manual,168000.0,28500," Mar 03, 2021",10
Ford Explorer  3.5LV6 XLT 2010,Ford ,Explorer ,2010.0,Automatic,207000.0,18000," Mar 02, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,51553.0,20999," Mar 02, 2021",10
Ford Focus 2012,Ford ,Focus ,2012.0,Automatic,125041.0,16999," Mar 02, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,61105.0,20999," Mar 02, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,33643.0,20999," Mar 02, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,23172.0,20999," Mar 02, 2021",10
Ford Escape 2015,Ford ,Escape ,2015.0,Automatic,66323.0,44999," Mar 02, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,31038.0,20999," Mar 02, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,20190.0,20999," Mar 02, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,26993.0,20999," Mar 02, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,20221.0,20999," Mar 02, 2021",10
Ford Focus 2014,Ford ,Focus ,2014.0,Automatic,93700.0,24999," Mar 02, 2021",10
Ford EcoSport 2014,Ford ,EcoSport ,2014.0,Automatic,186000.0,23000," Mar 02, 2021",10
Ford Ranger 2016,Ford ,Ranger ,2016.0,Manual,43961.0,54999," Mar 02, 2021",10
Toyota Corolla 2016,Toyota ,Corolla ,2016.0,Automatic,43814.0,49999," Mar 02, 2021",10
Toyota Corolla 2016,Toyota ,Corolla ,2016.0,Automatic,18652.0,50000," Mar 02, 2021",10
Ford Fusion 2014,Ford ,Fusion ,2014.0,Automatic,95395.0,33000," Mar 02, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,39706.0,52500," Mar 02, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,42249.0,52500," Mar 02, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,49210.0,51999," Mar 02, 2021",10
Ford Edge 2013,Ford ,Edge ,2013.0,Automatic,18815.0,51729," Mar 02, 2021",10
Ford Fusion 2016,Ford ,Fusion ,2016.0,Automatic,17110.0,48999," Mar 02, 2021",10
Ford Fusion 2016,Ford ,Fusion ,2016.0,Automatic,14505.0,44999," Mar 02, 2021",10
Ford Focus 2013,Ford ,Focus ,2013.0,Automatic,48854.0,20000," Mar 02, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,27202.0,44999," Mar 02, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,50287.0,51450," Mar 02, 2021",10
Ford Ranger 2011,Ford ,Ranger ,2011.0,Manual,8184.0,24999," Mar 02, 2021",10
Ford Ranger 2011,Ford ,Ranger ,2011.0,Manual,90033.0,22999," Mar 02, 2021",10
Ford Focus 2017,Ford ,Focus ,2017.0,Automatic,1739.0,42000," Mar 02, 2021",10
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,22603.0,45000," Mar 02, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,2218.0,37800," Mar 02, 2021",10
Ford Taurus 2015,Ford ,Taurus ,2015.0,Automatic,29900.0,56000," Mar 02, 2021",10
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,10666.0,52500," Mar 02, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,28000.0,37800," Mar 02, 2021",10
Hyundai Sonata  2.0L 2018,Hyundai ,Sonata ,2018.0,Automatic,51000.0,40000," Mar 02, 2021",10
