Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time,Rating
Ford Taurus 2013,Ford ,Taurus ,2013.0,Automatic,147600.0,39999," Apr 08, 2021",5
Ford Edge 2013,Ford ,Edge ,2013.0,Automatic,145150.0,55999," Apr 08, 2021",1
Ford Expedition 2013,Ford ,Expedition ,2013.0,Automatic,105100.0,53999," Apr 08, 2021",5
Ford Explorer 2013,Ford ,Explorer ,2013.0,Automatic,89000.0,54999," Apr 08, 2021",5
Ford Edge 2013,Ford ,Edge ,2013.0,Automatic,157000.0,43999," Apr 08, 2021",5
Ford Focus 2014,Ford ,Focus ,2014.0,Automatic,93700.0,24999," Apr 08, 2021",10
Ford EcoSport 2014,Ford ,EcoSport ,2014.0,Automatic,186000.0,23000," Apr 08, 2021",10
Cadillac CTS 2014,Cadillac ,CTS ,2014.0,Automatic,107024.0,77000," Apr 08, 2021",1
Cadillac CTS 2014,Cadillac ,CTS ,2014.0,Automatic,68000.0,83000," Apr 08, 2021",1
Ford Ranger 2016,Ford ,Ranger ,2016.0,Manual,43961.0,54999," Apr 08, 2021",10
Ford Explorer 2016,Ford ,Explorer ,2016.0,Automatic,18900.0,129999," Apr 08, 2021",1
Ford Explorer 2013,Ford ,Explorer ,2013.0,Automatic,132368.0,54999," Apr 08, 2021",5
Toyota Corolla 2016,Toyota ,Corolla ,2016.0,Automatic,43814.0,49999," Apr 08, 2021",10
Ford Edge 2017,Ford ,Edge ,2017.0,Automatic,1682.0,134999," Apr 08, 2021",1
Toyota Corolla 2016,Toyota ,Corolla ,2016.0,Automatic,18652.0,50000," Apr 08, 2021",10
Ford Explorer 2015,Ford ,Explorer ,2015.0,Automatic,68114.0,63999," Apr 08, 2021",5
Ford Taurus 2017,Ford ,Taurus ,2017.0,Automatic,1606.0,110000," Apr 08, 2021",1
Ford Fusion 2014,Ford ,Fusion ,2014.0,Automatic,95395.0,33000," Apr 08, 2021",10
Ford Edge 2012,Ford ,Edge ,2012.0,Automatic,71188.0,50400," Apr 08, 2021",5
Ford Expedition 2017,Ford ,Expedition ,2017.0,Automatic,3960.0,150150," Apr 08, 2021",1
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,39706.0,52500," Apr 08, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,42249.0,52500," Apr 08, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,90109.0,49999," Apr 08, 2021",5
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,49210.0,51999," Apr 08, 2021",10
Ford Explorer 2017,Ford ,Explorer ,2017.0,Automatic,14000.0,159999," Apr 08, 2021",1
Ford Expedition 2014,Ford ,Expedition ,2014.0,Automatic,92618.0,59999," Apr 08, 2021",5
Ford Edge 2013,Ford ,Edge ,2013.0,Automatic,18815.0,51729," Apr 08, 2021",10
Ford Expedition 2016,Ford ,Expedition ,2016.0,Automatic,68281.0,90999," Apr 08, 2021",1
Ford Taurus 2015,Ford ,Taurus ,2015.0,Automatic,35000.0,94500," Apr 08, 2021",1
Lincoln Continental 2017,Lincoln ,Continental ,2017.0,Automatic,10300.0,259999," Apr 08, 2021",1
Ford Fusion 2016,Ford ,Fusion ,2016.0,Automatic,17110.0,48999," Apr 08, 2021",10
Ford Fusion 2016,Ford ,Fusion ,2016.0,Automatic,14505.0,44999," Apr 08, 2021",10
Ford Focus 2013,Ford ,Focus ,2013.0,Automatic,48854.0,20000," Apr 08, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,27202.0,44999," Apr 08, 2021",10
Ford Expedition 2016,Ford ,Expedition ,2016.0,Automatic,6214.0,102999," Apr 08, 2021",1
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,50287.0,51450," Apr 08, 2021",10
Ford Expedition 2016,Ford ,Expedition ,2016.0,Automatic,13333.0,94999," Apr 08, 2021",1
Lincoln Navigator 2012,Lincoln ,Navigator ,2012.0,Automatic,102500.0,84000," Apr 08, 2021",1
Ford Taurus 2016,Ford ,Taurus ,2016.0,Automatic,26900.0,73000," Apr 08, 2021",5
Ford Flex 2016,Ford ,Flex ,2016.0,Automatic,2700.0,93450," Apr 08, 2021",5
Ford Ranger 2011,Ford ,Ranger ,2011.0,Manual,8184.0,24999," Apr 08, 2021",10
Ford Expedition 2013,Ford ,Expedition ,2013.0,Automatic,155766.0,54999," Apr 08, 2021",1
Ford Mustang 2017,Ford ,Mustang ,2017.0,Automatic,7796.0,156000," Apr 08, 2021",1
Ford Expedition 2017,Ford ,Expedition ,2017.0,Automatic,1218.0,142999," Apr 08, 2021",1
Ford Edge 2017,Ford ,Edge ,2017.0,Automatic,1130.0,100500," Apr 08, 2021",1
Ford Ranger 2011,Ford ,Ranger ,2011.0,Manual,90033.0,22999," Apr 08, 2021",10
Ford Expedition 2015,Ford ,Expedition ,2015.0,Automatic,92823.0,73499," Apr 08, 2021",1
Ford Expedition 2013,Ford ,Expedition ,2013.0,Automatic,92409.0,54999," Apr 08, 2021",5
Lincoln MKX 2016,Lincoln ,MKX ,2016.0,Automatic,35667.0,167999," Apr 08, 2021",1
Ford Expedition 2017,Ford ,Expedition ,2017.0,Automatic,2129.0,155999," Apr 08, 2021",1
Ford Mustang 2017,Ford ,Mustang ,2017.0,Automatic,15878.0,189000," Apr 08, 2021",1
Ford Edge 2017,Ford ,Edge ,2017.0,Automatic,1682.0,134999," Apr 08, 2021",1
Ford Edge 2017,Ford ,Edge ,2017.0,Automatic,2774.0,134999," Apr 08, 2021",1
Ford Taurus 2017,Ford ,Taurus ,2017.0,Automatic,22114.0,99999," Apr 08, 2021",1
Ford Edge 2017,Ford ,Edge ,2017.0,Automatic,4422.0,134999," Apr 08, 2021",1
Ford Taurus 2017,Ford ,Taurus ,2017.0,Automatic,7000.0,142800," Apr 08, 2021",1
Ford Expedition 2017,Ford ,Expedition ,2017.0,Automatic,16834.0,149999," Apr 08, 2021",1
Ford Explorer 2013,Ford ,Explorer ,2013.0,Automatic,165500.0,52499," Apr 08, 2021",1
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,118300.0,52500," Apr 08, 2021",5
Ford Focus 2017,Ford ,Focus ,2017.0,Automatic,1739.0,42000," Apr 08, 2021",10
Ford Expedition 2017,Ford ,Expedition ,2017.0,Automatic,1243.0,165999," Apr 08, 2021",1
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,22603.0,45000," Apr 08, 2021",10
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,82604.0,52498," Apr 08, 2021",5
Ford Edge 2012,Ford ,Edge ,2012.0,Automatic,71188.0,57750," Apr 08, 2021",5
Ford Edge 2017,Ford ,Edge ,2017.0,Automatic,4483.0,120750," Apr 08, 2021",1
Ford Edge 2014,Ford ,Edge ,2014.0,Automatic,56723.0,59999," Apr 08, 2021",5
Ford Expedition 2014,Ford ,Expedition ,2014.0,Automatic,83800.0,78750," Apr 08, 2021",1
Ford Ranger 2016,Ford ,Ranger ,2016.0,Manual,35511.0,60900," Apr 08, 2021",5
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,2218.0,37800," Apr 08, 2021",10
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,116963.0,52498," Apr 08, 2021",5
Ford Taurus 2015,Ford ,Taurus ,2015.0,Automatic,29900.0,56000," Apr 08, 2021",10
Lincoln MKT 2013,Lincoln ,MKT ,2013.0,Automatic,72339.0,72449," Apr 08, 2021",5
Ford Taurus 2016,Ford ,Taurus ,2016.0,Automatic,15276.0,64999," Apr 08, 2021",5
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,96338.0,49999," Apr 08, 2021",5
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,90660.0,52498," Apr 08, 2021",5
Ford Escape 2015,Ford ,Escape ,2015.0,Automatic,66325.0,53549," Apr 08, 2021",5
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,115250.0,45000," Apr 08, 2021",5
Lincoln MKT 2015,Lincoln ,MKT ,2015.0,Automatic,68317.0,99999," Apr 08, 2021",1
Ford Edge 2013,Ford ,Edge ,2013.0,Automatic,132239.0,41999," Apr 08, 2021",5
Lincoln MKS 2014,Lincoln ,MKS ,2014.0,Automatic,21667.0,93450," Apr 08, 2021",1
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,10666.0,52500," Apr 08, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,28000.0,37800," Apr 08, 2021",10
Toyota Camry 2007,Toyota ,Camry ,2007.0,Manual,269000.0,14000," Apr 08, 2021",5
Toyota Camry 2007,Toyota ,Camry ,2007.0,Manual,269000.0,14000," Apr 07, 2021",5
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,112000.0,52500," Apr 07, 2021",5
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,51553.0,20999," Apr 07, 2021",10
Ford Focus 2012,Ford ,Focus ,2012.0,Automatic,125041.0,16999," Apr 07, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,61105.0,20999," Apr 07, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,33643.0,20999," Apr 07, 2021",10
Ford Taurus 2015,Ford ,Taurus ,2015.0,Automatic,80040.0,58999," Apr 07, 2021",5
Ford Taurus 2017,Ford ,Taurus ,2017.0,Automatic,5318.0,95000," Apr 07, 2021",1
Ford Taurus 2013,Ford ,Taurus ,2013.0,Automatic,167219.0,39000," Apr 07, 2021",5
Ford Taurus 2014,Ford ,Taurus ,2014.0,Automatic,99421.0,48000," Apr 07, 2021",5
Ford Taurus 2016,Ford ,Taurus ,2016.0,Automatic,55012.0,70000," Apr 07, 2021",5
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,23172.0,20999," Apr 07, 2021",10
Ford Fusion 2017,Ford ,Fusion ,2017.0,Automatic,36900.0,64999," Apr 07, 2021",5
Ford Escape 2015,Ford ,Escape ,2015.0,Automatic,66323.0,44999," Apr 07, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,31038.0,20999," Apr 07, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,20190.0,20999," Apr 07, 2021",10
Ford Taurus 2013,Ford ,Taurus ,2013.0,Automatic,191302.0,33999," Apr 07, 2021",5
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,26993.0,20999," Apr 07, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,20221.0,20999," Apr 07, 2021",10
Ford Explorer 2012,Ford ,Explorer ,2012.0,Automatic,136586.0,44999," Apr 07, 2021",5
Ford Explorer 2014,Ford ,Explorer ,2014.0,Automatic,53035.0,62999," Apr 07, 2021",5
Lincoln MKS 2015,Lincoln ,MKS ,2015.0,Automatic,22456.0,79999," Apr 07, 2021",5
Ford Taurus 2013,Ford ,Taurus ,2013.0,Automatic,147600.0,39999," Apr 07, 2021",5
Ford Edge 2013,Ford ,Edge ,2013.0,Automatic,145150.0,55999," Apr 07, 2021",1
Ford Expedition 2013,Ford ,Expedition ,2013.0,Automatic,105100.0,53999," Apr 07, 2021",5
Ford Explorer 2013,Ford ,Explorer ,2013.0,Automatic,89000.0,54999," Apr 07, 2021",5
Ford Edge 2013,Ford ,Edge ,2013.0,Automatic,157000.0,43999," Apr 07, 2021",5
Ford Focus 2014,Ford ,Focus ,2014.0,Automatic,93700.0,24999," Apr 07, 2021",10
Ford EcoSport 2014,Ford ,EcoSport ,2014.0,Automatic,186000.0,23000," Apr 07, 2021",10
Ford Ranger 2016,Ford ,Ranger ,2016.0,Manual,43961.0,54999," Apr 07, 2021",10
Ford Explorer 2016,Ford ,Explorer ,2016.0,Automatic,18900.0,129999," Apr 07, 2021",1
Ford Explorer 2013,Ford ,Explorer ,2013.0,Automatic,132368.0,54999," Apr 07, 2021",5
Toyota Corolla 2016,Toyota ,Corolla ,2016.0,Automatic,43814.0,49999," Apr 07, 2021",10
Toyota Corolla 2016,Toyota ,Corolla ,2016.0,Automatic,18652.0,50000," Apr 07, 2021",10
Ford Explorer 2015,Ford ,Explorer ,2015.0,Automatic,68114.0,63999," Apr 07, 2021",5
Ford Taurus 2017,Ford ,Taurus ,2017.0,Automatic,1606.0,110000," Apr 07, 2021",1
Ford Fusion 2014,Ford ,Fusion ,2014.0,Automatic,95395.0,33000," Apr 07, 2021",10
Ford Edge 2012,Ford ,Edge ,2012.0,Automatic,71188.0,50400," Apr 07, 2021",5
Ford Expedition 2017,Ford ,Expedition ,2017.0,Automatic,3960.0,150150," Apr 07, 2021",1
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,39706.0,52500," Apr 07, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,42249.0,52500," Apr 07, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,90109.0,49999," Apr 07, 2021",5
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,49210.0,51999," Apr 07, 2021",10
