Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time
nan,,,,nan,,0,nan
Ford Fusion 2015,Ford ,Fusion ,2015,Automatic,"22,603",45000," Apr 07, 2021"
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"82,604",52498," Apr 07, 2021"
Ford Edge 2012,Ford ,Edge ,2012,Automatic,"71,188",57750," Apr 07, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,,126000," Apr 07, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,"4,483",120750," Apr 07, 2021"
Ford Edge 2014,Ford ,Edge ,2014,Automatic,"56,723",59999," Apr 07, 2021"
Ford Expedition 2014,Ford ,Expedition ,2014,Automatic,"83,800",78750," Apr 07, 2021"
Ford Ranger 2016,Ford ,Ranger ,2016,Manual,"35,511",60900," Apr 07, 2021"
Ford Focus 2016,Ford ,Focus ,2016,Automatic,"2,218",37800," Apr 07, 2021"
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"116,963",52498," Apr 07, 2021"
Ford Taurus 2015,Ford ,Taurus ,2015,Automatic,"29,900",56000," Apr 07, 2021"
Lincoln MKT 2013,Lincoln ,MKT ,2013,Automatic,"72,339",72449," Apr 07, 2021"
Ford Taurus 2016,Ford ,Taurus ,2016,Automatic,"15,276",64999," Apr 07, 2021"
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"90,660",52498," Apr 07, 2021"
Ford Fusion 2015,Ford ,Fusion ,2015,Automatic,"115,250",45000," Apr 07, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Lincoln MKT 2015,Lincoln ,MKT ,2015,Automatic,"68,317",99999," Apr 07, 2021"
Ford Edge 2013,Ford ,Edge ,2013,Automatic,"132,239",41999," Apr 07, 2021"
Lincoln MKS 2014,Lincoln ,MKS ,2014,Automatic,"21,667",93450," Apr 07, 2021"
Ford Fusion 2015,Ford ,Fusion ,2015,Automatic,"10,666",52500," Apr 07, 2021"
Ford Focus 2016,Ford ,Focus ,2016,Automatic,"28,000",37800," Apr 07, 2021"
Mitsubishi Outlander 2014,Mitsubishi ,Outlander ,2014,Automatic,"204,000",33000," Apr 07, 2021"
Lincoln Town Car 2021,Lincoln ,Town ,2021,Automatic,"350,000",10000," Apr 07, 2021"
Toyota Yaris  1.5L S (CVT) 2021,Toyota ,Yaris ,2021,Automatic,,53200," Apr 06, 2021"
Toyota Land Cruiser Prado  4.0L V6 VX1 2004,Toyota ,Land ,2004,Automatic,"511,000",34000," Apr 06, 2021"
Kia Cerato 2017,Kia ,Cerato ,2017,NA,"81,000",39000," Apr 06, 2021"
Toyota Corolla 2011,Toyota ,Corolla ,2011,NA,"280,000",16500," Apr 06, 2021"
Hyundai Accent 2019,Hyundai ,Accent ,2019,NA,"210,000",34000," Apr 06, 2021"
Kia Optima 2016,Kia ,Optima ,2016,NA,"135,000",38000," Apr 06, 2021"
Toyota Land Cruiser  4.0 GXR 2015,Toyota ,Land ,2015,Automatic,"98,500",165000," Apr 06, 2021"
BMW 5 Series  520i 2015,BMW ,,2015,Automatic,"115,800",68000," Apr 06, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Kia Rio 2015,Kia ,Rio ,2015,NA,"155,000",17000," Apr 06, 2021"
Chevrolet Captiva 2007,Chevrolet ,Captiva ,2007,NA,"205,000",8000," Apr 06, 2021"
Nissan X-Trail 2016,Nissan ,,2016,NA,"110,000",43000," Apr 06, 2021"
Toyota Hilux 2009,Toyota ,Hilux ,2009,NA,"228,000",45000," Apr 06, 2021"
Ford Explorer 2006,Ford ,Explorer ,2006,NA,"380,000",17500," Apr 06, 2021"
Chevrolet Cruze 2017,Chevrolet ,Cruze ,2017,NA,"223,000",28000," Apr 06, 2021"
BMW X5 2011,BMW ,,2011,NA,"158,000",46000," Apr 06, 2021"
Audi A8 2006,Audi ,,2006,NA,"222,000",23000," Apr 06, 2021"
Mazda 3 2007,Mazda ,,2007,NA,"257,000",11000," Apr 06, 2021"
BMW 7 Series  740d 2003,BMW ,,2003,Automatic,"321,000",15000," Apr 06, 2021"
Ford Focus 2015,Ford ,Focus ,2015,NA,"92,000",29000," Apr 06, 2021"
Chevrolet Malibu 2014,Chevrolet ,Malibu ,2014,NA,"145,000",24000," Apr 06, 2021"
Ford Figo 2011,Ford ,Figo ,2011,NA,"80,000",7500," Apr 06, 2021"
Toyota Corolla 2018,Toyota ,Corolla ,2018,NA,"96,000",50000," Apr 06, 2021"
BMW X6 2011,BMW ,,2011,Automatic,"215,000",52500," Apr 06, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Toyota Camry 2012,Toyota ,Camry ,2012,NA,"155,000",15500," Apr 06, 2021"
Toyota Corolla 2012,Toyota ,Corolla ,2012,NA,"439,000",17000," Apr 06, 2021"
Toyota Camry 2008,Toyota ,Camry ,2008,NA,"226,000",16000," Apr 06, 2021"
Honda Accord 2015,Honda ,Accord ,2015,NA,"195,000",55000," Apr 06, 2021"
Toyota Camry 2006,Toyota ,Camry ,2006,NA,"506,000",14000," Apr 06, 2021"
Toyota Corolla 2014,Toyota ,Corolla ,2014,NA,"194,000",27500," Apr 06, 2021"
Chevrolet Aveo 2016,Chevrolet ,Aveo ,2016,NA,"110,000",14000," Apr 06, 2021"
Chevrolet Traverse 2012,Chevrolet ,Traverse ,2012,NA,"140,000",25000," Apr 06, 2021"
Nissan Maxima 2016,Nissan ,Maxima ,2016,NA,"92,000",55000," Apr 06, 2021"
Renault Duster 2019,Renault ,Duster ,2019,NA,"45,000",45000," Apr 06, 2021"
Isuzu D-MAX 2009,Isuzu ,,2009,NA,"340,000",28000," Apr 06, 2021"
Kia Cerato 2019,Kia ,Cerato ,2019,NA,"62,330",37000," Apr 06, 2021"
GMC Acadia 2012,GMC ,Acadia ,2012,NA,"164,000",38000," Apr 06, 2021"
Toyota Camry 2017,Toyota ,Camry ,2017,NA,"225,000",38500," Apr 06, 2021"
Hyundai Accent 2017,Hyundai ,Accent ,2017,NA,"175,000",26000," Apr 06, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Honda CRV 2007,Honda ,CRV ,2007,NA,"280,000",18000," Apr 06, 2021"
Toyota Corolla 2017,Toyota ,Corolla ,2017,NA,"138,000",42000," Apr 06, 2021"
Toyota Fortuner  2.7L EXR 2016,Toyota ,Fortuner ,2016,Automatic,"97,000",65000," Apr 06, 2021"
Toyota Fortuner  2.7L EXR 2016,Toyota ,Fortuner ,2016,Automatic,"97,000",65000," Apr 06, 2021"
Ford Taurus  2.0L EcoBoost SE 2018,Ford ,Taurus ,2018,Automatic,"16,000",85000," Apr 05, 2021"
Ford EcoSport 2015,Ford ,EcoSport ,2015,NA,"85,000",28000," Apr 05, 2021"
Toyota Camry 2010,Toyota ,Camry ,2010,NA,"245,200",26000," Apr 05, 2021"
Hyundai Veracruz 2008,Hyundai ,Veracruz ,2008,NA,"296,000",26000," Apr 05, 2021"
Hyundai Elantra 2016,Hyundai ,Elantra ,2016,NA,"221,000",30000," Apr 05, 2021"
Toyota Yaris 2011,Toyota ,Yaris ,2011,Automatic,"123,250",15000," Apr 05, 2021"
Kia Cerato  1.6L Top 2016,Kia ,Cerato ,2016,Automatic,"130,000",24000," Apr 05, 2021"
Hyundai Sonata  2.4L  Ace of Base 2013,Hyundai ,Sonata ,2013,Automatic,"176,000",32000," Apr 05, 2021"
Mazda 6 2004,Mazda ,,2004,NA,"200,000",5500," Apr 05, 2021"
Toyota Rav4 2011,Toyota ,,2011,NA,"132,000",28000," Apr 05, 2021"
Hyundai Elantra 2013,Hyundai ,Elantra ,2013,NA,"181,500",26100," Apr 05, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Mazda CX-5 2017,Mazda ,,2017,NA,"132,000",57000," Apr 05, 2021"
Nissan Sunny 2015,Nissan ,Sunny ,2015,NA,"145,000",18000," Apr 05, 2021"
Isuzu D-MAX 2012,Isuzu ,,2012,NA,"300,000",33000," Apr 05, 2021"
Hyundai Elantra 2017,Hyundai ,Elantra ,2017,NA,"125,000",35000," Apr 05, 2021"
Hyundai Accent 2018,Hyundai ,Accent ,2018,NA,"109,000",31000," Apr 05, 2021"
Kia Cerato 2015,Kia ,Cerato ,2015,NA,"155,000",24000," Apr 05, 2021"
Hyundai Tucson 2013,Hyundai ,Tucson ,2013,NA,"370,000",28000," Apr 05, 2021"
Kia Rio 2017,Kia ,Rio ,2017,NA,"85,000",28500," Apr 05, 2021"
Nissan Armada 2010,Nissan ,Armada ,2010,NA,"170,000",30000," Apr 05, 2021"
Kia Carens  1.6L Base 2017,Kia ,Carens ,2017,Automatic,"163,000",30000," Apr 05, 2021"
Toyota Hilux  2.0 Double Cab 4x2 M/T 2009,Toyota ,Hilux ,2009,Manual,"330,000",30000," Apr 05, 2021"
Toyota Fortuner 2013,Toyota ,Fortuner ,2013,NA,"197,000",45000," Apr 05, 2021"
Chevrolet Traverse 2010,Chevrolet ,Traverse ,2010,NA,"268,000",23000," Apr 05, 2021"
Kia Cadenza 2011,Kia ,Cadenza ,2011,NA,"185,000",17000," Apr 05, 2021"
GMC Acadia 2012,GMC ,Acadia ,2012,NA,"163,000",38000," Apr 05, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Explorer 2002,Ford ,Explorer ,2002,NA,"295,000",11000," Apr 05, 2021"
Toyota Camry 2008,Toyota ,Camry ,2008,NA,"310,000",15000," Apr 05, 2021"
Toyota Hilux 2019,Toyota ,Hilux ,2019,NA,"65,000",60000," Apr 05, 2021"
Chrysler 300C 2005,Chrysler ,,2005,NA,"198,000",10000," Apr 05, 2021"
Toyota Corolla 2003,Toyota ,Corolla ,2003,NA,"400,000",9000," Apr 05, 2021"
Nissan Altima 2010,Nissan ,Altima ,2010,NA,"260,000",20000," Apr 05, 2021"
Toyota Camry 2003,Toyota ,Camry ,2003,NA,"317,000",15000," Apr 05, 2021"
Hyundai Elantra 2009,Hyundai ,Elantra ,2009,NA,"221,000",15000," Apr 05, 2021"
Toyota Previa 2003,Toyota ,Previa ,2003,NA,"225,000",13500," Apr 05, 2021"
Mercedes-Benz E-Class  E 350 2006,,,2006,Automatic,"191,000",25000," Apr 05, 2021"
Nissan Altima 2014,Nissan ,Altima ,2014,NA,"194,000",29000," Apr 05, 2021"
Hyundai Elantra 2016,Hyundai ,Elantra ,2016,NA,"222,000",30000," Apr 05, 2021"
Great Wall Wingle 7  2.0T Double Cabin (4x4) 2021,Great ,Wall ,2021,Manual,,64400," Apr 05, 2021"
Toyota Corolla 1.6 SE 2014,Toyota ,Corolla ,2014,Automatic,"99,000",38000," Apr 05, 2021"
Kia Rio 2004,Kia ,Rio ,2004,NA,"413,000",3000," Apr 05, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Toyota Camry 2001,Toyota ,Camry ,2001,NA,"498,000",10000," Apr 05, 2021"
Kia Cerato 2015,Kia ,Cerato ,2015,NA,"155,000",24000," Apr 04, 2021"
Hyundai Elantra 2014,Hyundai ,Elantra ,2014,NA,"350,000",15000," Apr 04, 2021"
Dodge Charger 2010,Dodge ,Charger ,2010,NA,"192,000",23000," Apr 04, 2021"
Toyota Yaris 2013,Toyota ,Yaris ,2013,NA,"110,000",16500," Apr 04, 2021"
Hyundai Accent 2013,Hyundai ,Accent ,2013,NA,"220,000",15500," Apr 04, 2021"
Chevrolet Blazer  2.5L 1LT (FWD) 2006,Chevrolet ,Blazer ,2006,Automatic,,15000," Apr 04, 2021"
Chevrolet Blazer 2006,Chevrolet ,Blazer ,2006,Automatic,"400,000",15000," Apr 04, 2021"
Lexus ES 350 2017,Lexus ,ES ,2017,Automatic,"27,000",140000," Apr 04, 2021"
Hyundai Genesis  3.8 Top 2016,Hyundai ,Genesis ,2016,Automatic,"212,000",90000," Apr 04, 2021"
Mazda 6 2004,Mazda ,,2004,NA,"200,000",5500," Apr 04, 2021"
Jeep Grand Cherokee  SRT8 2014,Jeep ,Grand ,2014,Automatic,"100,000",130000," Apr 04, 2021"
Toyota Corolla  1.6L Smart 2005,Toyota ,Corolla ,2005,CVT,"355,000",10500," Apr 03, 2021"
Geely Emgrand X7 2014,Geely ,Emgrand ,2014,Automatic,"87,000",11000," Apr 03, 2021"
Mitsubishi Pajero  3.5L 5 Door Mid 2015,Mitsubishi ,Pajero ,2015,Automatic,"93,000",50000," Apr 03, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Bentley Flying Spur  6.0L W12 S 2012,Bentley ,Flying ,2012,Automatic,"85,000",175000," Apr 02, 2021"
Kia Optima  2.0L T-GDI GT 2020,Kia ,Optima ,2020,Automatic,"88,000",65000," Apr 02, 2021"
Honda Civic 2002,Honda ,Civic ,2002,Automatic,"420,000",8500," Apr 02, 2021"
Toyota Sequoia 5.7L V8 2012,Toyota ,Sequoia ,2012,Automatic,"102,000",85000," Apr 01, 2021"
Ford EcoSport 2015,Ford ,EcoSport ,2015,Automatic,,27000," Apr 01, 2021"
Hyundai Azera 2016,Hyundai ,Azera ,2016,NA,"53,849",52000," Mar 31, 2021"
Hyundai Sonata 2014,Hyundai ,Sonata ,2014,NA,"220,000",28000," Mar 31, 2021"
Ford Explorer 2006,Ford ,Explorer ,2006,NA,"240,000",13500," Mar 31, 2021"
GMC Acadia 2010,GMC ,Acadia ,2010,NA,"231,000",25000," Mar 31, 2021"
Hyundai Elantra 2014,Hyundai ,Elantra ,2014,NA,"200,000",27000," Mar 31, 2021"
Land Rover Range Rover 2008,Land ,Rover ,2008,NA,"195,000",30000," Mar 31, 2021"
Hyundai Sonata 2016,Hyundai ,Sonata ,2016,NA,"189,000",32000," Mar 31, 2021"
Kia Cerato 2017,Kia ,Cerato ,2017,NA,"42,000",39000," Mar 31, 2021"
Renault Duster 2015,Renault ,Duster ,2015,NA,"160,000",25000," Mar 31, 2021"
Hyundai Accent 2017,Hyundai ,Accent ,2017,NA,"117,000",26500," Mar 31, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Toyota Corolla 2015,Toyota ,Corolla ,2015,NA,"280,000",32000," Mar 31, 2021"
Toyota Corolla 2015,Toyota ,Corolla ,2015,NA,"260,000",29000," Mar 31, 2021"
Hyundai Azera 2014,Hyundai ,Azera ,2014,NA,"205,660",32000," Mar 31, 2021"
Toyota Yaris 2018,Toyota ,Yaris ,2018,NA,"65,000",42000," Mar 31, 2021"
Hyundai Sonata 2012,Hyundai ,Sonata ,2012,NA,"298,000",27500," Mar 31, 2021"
Hyundai Sonata 2017,Hyundai ,Sonata ,2017,NA,"98,000",46000," Mar 31, 2021"
Nissan Sunny 2013,Nissan ,Sunny ,2013,NA,"167,000",13000," Mar 31, 2021"
GMC Envoy 2006,GMC ,Envoy ,2006,NA,"230,000",12000," Mar 31, 2021"
Kia Optima 2018,Kia ,Optima ,2018,NA,"96,000",42000," Mar 31, 2021"
Ford Taurus 2018,Ford ,Taurus ,2018,NA,"39,000",85000," Mar 31, 2021"
Genesis G70 2018,Genesis ,,2018,NA,"75,000",105000," Mar 31, 2021"
Geely Emgrand X7 2016,Geely ,Emgrand ,2016,NA,"145,000",18000," Mar 31, 2021"
Kia Rio 2004,Kia ,Rio ,2004,NA,"413,000",3000," Mar 31, 2021"
Toyota Camry 2020,Toyota ,Camry ,2020,NA,"13,000",110000," Mar 31, 2021"
Chevrolet Camaro Coupe 2010,Chevrolet ,Camaro ,2010,NA,"239,000",33000," Mar 31, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
GAC GA4 2020,GAC ,,2020,NA,"5,000",55000," Mar 31, 2021"
Honda Civic 2002,Honda ,Civic ,2002,NA,"200,000",9000," Mar 31, 2021"
Nissan Sunny 2014,Nissan ,Sunny ,2014,NA,"235,000",16500," Mar 31, 2021"
Toyota Camry 2011,Toyota ,Camry ,2011,NA,"159,000",24000," Mar 31, 2021"
Hyundai Accent 2013,Hyundai ,Accent ,2013,NA,"300,000",13500," Mar 31, 2021"
Hyundai Elantra 2014,Hyundai ,Elantra ,2014,NA,"216,000",26000," Mar 31, 2021"
Toyota Corolla 2008,Toyota ,Corolla ,2008,NA,"336,000",15000," Mar 31, 2021"
Toyota Hilux 2012,Toyota ,Hilux ,2012,NA,"190,000",55000," Mar 31, 2021"
Toyota Hilux 2015,Toyota ,Hilux ,2015,NA,"157,000",68000," Mar 31, 2021"
Toyota Corolla 2016,Toyota ,Corolla ,2016,NA,"135,000",29000," Mar 31, 2021"
Chevrolet Cruze  1.6L 2017,Chevrolet ,Cruze ,2017,Manual,"130,000",24000," Mar 31, 2021"
Hyundai Accent 2016,Hyundai ,Accent ,2016,NA,"160,000",20000," Mar 31, 2021"
Hyundai Elantra 2014,Hyundai ,Elantra ,2014,NA,"200,000",27000," Mar 31, 2021"
Jeep Cherokee 2003,Jeep ,Cherokee ,2003,NA,"300,000",8000," Mar 31, 2021"
Chevrolet Lumina 2007,Chevrolet ,Lumina ,2007,NA,"380,000",14000," Mar 31, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Kia Optima 2016,Kia ,Optima ,2016,NA,"433,000",30000," Mar 31, 2021"
Hyundai Tucson 2016,Hyundai ,Tucson ,2016,NA,"125,000",52000," Mar 31, 2021"
Renault Koleos 2017,Renault ,Koleos ,2017,NA,"185,000",46000," Mar 31, 2021"
Chevrolet Sonic 2012,Chevrolet ,Sonic ,2012,NA,"71,000",14000," Mar 31, 2021"
Renault Duster 2015,Renault ,Duster ,2015,NA,"58,000",23000," Mar 31, 2021"
Toyota Camry 2017,Toyota ,Camry ,2017,NA,"130,000",65000," Mar 31, 2021"
Hyundai Elantra 2012,Hyundai ,Elantra ,2012,NA,"158,000",20000," Mar 31, 2021"
Honda Accord 2008,Honda ,Accord ,2008,NA,"489,000",14000," Mar 31, 2021"
Kia Cerato 2010,Kia ,Cerato ,2010,NA,"280,000",14600," Mar 31, 2021"
MG HS 2021,MG ,HS ,2021,Automatic,"2,500",90000," Mar 31, 2021"
Kia Rio  4 Door Sedan 1.4L 2008,Kia ,Rio ,2008,Manual,"200,000",8000," Mar 31, 2021"
Nissan Armada  4WD LE 2006,Nissan ,Armada ,2006,Automatic,"300,800",17500," Mar 31, 2021"
Chevrolet Lumina 2010,Chevrolet ,Lumina ,2010,Automatic,"201,999",15000," Mar 31, 2021"
BMW 3 Series 2008,BMW ,,2008,NA,"229,000",28000," Mar 31, 2021"
Hyundai H1 2011,Hyundai ,,2011,NA,"182,000",27000," Mar 31, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Toyota Fortuner 2018,Toyota ,Fortuner ,2018,NA,"250,000",60000," Mar 31, 2021"
Chevrolet Captiva 2009,Chevrolet ,Captiva ,2009,NA,"193,000",13000," Mar 31, 2021"
Chrysler 300C 2006,Chrysler ,,2006,NA,"189,000",10000," Mar 31, 2021"
Hyundai Sonata 2008,Hyundai ,Sonata ,2008,NA,"238,000",8000," Mar 31, 2021"
Ford Fusion  2.5L SE (Cloth) 2015,Ford ,Fusion ,2015,Automatic,"110,000",36000," Mar 31, 2021"
Honda Accord 2014,Honda ,Accord ,2014,NA,"161,000",45000," Mar 31, 2021"
Ford EcoSport  1.0T Titanium 2017,Ford ,EcoSport ,2017,Automatic,"100,800",35000," Mar 31, 2021"
Hyundai Creta  1.6L Mid 2017,Hyundai ,Creta ,2017,Automatic,"65,000",52000," Mar 30, 2021"
MG HS 2021,MG ,HS ,2021,Automatic,"2,506",96000," Mar 30, 2021"
Chevrolet Cruze  LS A/T 2013,Chevrolet ,Cruze ,2013,Automatic,"122,000",14000," Mar 30, 2021"
Chevrolet Cruze  LS A/T 2013,Chevrolet ,Cruze ,2013,Automatic,"122,000",14000," Mar 30, 2021"
Toyota Rav4 2.5L GXR 4X4   2011,Toyota ,,2011,Automatic,"160,000",38000," Mar 30, 2021"
Nissan X-Trail  2.5 S 2WD 2016,Nissan ,,2016,Automatic,"63,500",54000," Mar 30, 2021"
Geely Emgrand 7 2016,Geely ,Emgrand ,2016,NA,"145,000",18000," Mar 30, 2021"
Hyundai Elantra 2015,Hyundai ,Elantra ,2015,NA,"228,000",21000," Mar 30, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Jeep Cherokee 2012,Jeep ,Cherokee ,2012,NA,"140,000",25000," Mar 30, 2021"
Hyundai Genesis Coupe  3.8L 2011,Hyundai ,Genesis ,2011,Automatic,"240,000",28000," Mar 30, 2021"
Toyota Innova 2015,Toyota ,Innova ,2015,NA,"466,000",40000," Mar 30, 2021"
Chevrolet Aveo 2011,Chevrolet ,Aveo ,2011,NA,"9,000",200000," Mar 30, 2021"
Hyundai Elantra 2016,Hyundai ,Elantra ,2016,NA,"180,000",29000," Mar 30, 2021"
Lexus ES 350 2014,Lexus ,ES ,2014,NA,"105,000",93000," Mar 30, 2021"
Mitsubishi Lancer 2009,Mitsubishi ,Lancer ,2009,NA,"230,000",13000," Mar 30, 2021"
Hyundai Santa Fe 2017,Hyundai ,Santa ,2017,NA,"126,000",60000," Mar 30, 2021"
GMC Yukon 2003,GMC ,Yukon ,2003,NA,"150,000",16500," Mar 30, 2021"
Honda Civic 2007,Honda ,Civic ,2007,NA,"218,000",16000," Mar 30, 2021"
Hyundai Accent 2018,Hyundai ,Accent ,2018,NA,"27,000",38000," Mar 30, 2021"
Hyundai Sonata 2013,Hyundai ,Sonata ,2013,NA,"180,000",29500," Mar 30, 2021"
Hyundai Elantra 2011,Hyundai ,Elantra ,2011,NA,"200,000",12000," Mar 30, 2021"
Ford Taurus 2016,Ford ,Taurus ,2016,NA,"159,000",62000," Mar 30, 2021"
GMC Yukon 2008,GMC ,Yukon ,2008,NA,"170,000",30000," Mar 30, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Toyota Rush 2020,Toyota ,Rush ,2020,NA,"30,000",60000," Mar 30, 2021"
Kia Carnival 2013,Kia ,Carnival ,2013,NA,"197,000",18000," Mar 30, 2021"
Toyota Camry 2013,Toyota ,Camry ,2013,NA,"220,000",30000," Mar 30, 2021"
Volvo S60 2011,Volvo ,,2011,NA,"192,000",18000," Mar 30, 2021"
Renault Duster  SE 2014,Renault ,Duster ,2014,Manual,"125,000",20000," Mar 30, 2021"
Honda Civic 2002,Honda ,Civic ,2002,Automatic,"420,000",9000," Mar 29, 2021"
Kia Optima  2.0L 2015,Kia ,Optima ,2015,Automatic,"223,000",28900," Mar 29, 2021"
Ford Explorer  2.3L EcoBoost XLT (Mid Option) AWD 2010,Ford ,Explorer ,2010,Automatic,"270,000",17009," Mar 29, 2021"
Lexus GX 460 2011,Lexus ,GX ,2011,Automatic,"138,000",95000," Mar 29, 2021"
Ford Explorer 2010,Ford ,Explorer ,2010,NA,"270,000",18500," Mar 29, 2021"
Toyota Rav4 2015,Toyota ,,2015,NA,"142,000",50000," Mar 29, 2021"
Mitsubishi Pajero 2016,Mitsubishi ,Pajero ,2016,NA,"110,000",58000," Mar 29, 2021"
Haval H2 2021,Haval ,,2021,NA,,62989," Mar 29, 2021"
Hyundai Accent  1.4L GL Hatch 2010,Hyundai ,Accent ,2010,Automatic,"167,000",17000," Mar 29, 2021"
Honda Accord 2010,Honda ,Accord ,2010,NA,"150,000",28000," Mar 29, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Mitsubishi ASX 2005,Mitsubishi ,ASX ,2005,NA,"266,000",13000," Mar 29, 2021"
Toyota Land Cruiser Prado  4.0L V6 TXL1 2016,Toyota ,Land ,2016,Automatic,"200,000",85000," Mar 29, 2021"
Toyota Corolla  1.6L XLI 2013,Toyota ,Corolla ,2013,CVT,"259,000",26500," Mar 29, 2021"
Toyota Fortuner  2.7L GX2 (4X4) 2020,Toyota ,Fortuner ,2020,Automatic,"127,000",115000," Mar 29, 2021"
Hyundai Accent  1.4L GL 2015,Hyundai ,Accent ,2015,Automatic,"278,000",18000," Mar 28, 2021"
Chevrolet Impala  LT 2014,Chevrolet ,Impala ,2014,Automatic,"186,000",46000," Mar 28, 2021"
Hyundai Elantra 2011,Hyundai ,Elantra ,2011,NA,"210,000",12500," Mar 28, 2021"
Hyundai H1 2016,Hyundai ,,2016,NA,"180,000",48000," Mar 28, 2021"
Mercedes-Benz Vito 2004,,,2004,NA,"185,000",16000," Mar 28, 2021"
Ford Mondeo 2005,Ford ,Mondeo ,2005,NA,"176,000",7500," Mar 28, 2021"
Geely Emgrand X7  2.4L Advance 2016,Geely ,Emgrand ,2016,Automatic,"78,000",23000," Mar 28, 2021"
Mazda 6 2017,Mazda ,,2017,NA,"425,000",12000," Mar 28, 2021"
Ford Fusion 2012,Ford ,Fusion ,2012,NA,"200,000",15000," Mar 28, 2021"
GMC Yukon 2012,GMC ,Yukon ,2012,NA,"179,000",52000," Mar 28, 2021"
Nissan Sunny Classic  EX Saloon 2011,Nissan ,Sunny ,2011,Automatic,"296,000",14500," Mar 28, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Hyundai H1 2016,Hyundai ,,2016,NA,"103,000",52000," Mar 28, 2021"
Kia Sportage 2016,Kia ,Sportage ,2016,NA,"224,000",52000," Mar 28, 2021"
Toyota Fortuner 2015,Toyota ,Fortuner ,2015,NA,"150,140",70000," Mar 28, 2021"
Hyundai Accent 2010,Hyundai ,Accent ,2010,NA,"215,000",21000," Mar 28, 2021"
Kia Rio 2011,Kia ,Rio ,2011,NA,"160,000",14000," Mar 28, 2021"
Hyundai Azera 2014,Hyundai ,Azera ,2014,NA,"323,000",35000," Mar 28, 2021"
Dodge Durango 2008,Dodge ,Durango ,2008,NA,"200,000",18000," Mar 28, 2021"
Honda City 2017,Honda ,City ,2017,NA,"70,100",29500," Mar 28, 2021"
Dodge Charger 2017,Dodge ,Charger ,2017,Automatic,"34,000",175000," Mar 28, 2021"
Infiniti QX80  5.6L 8s Luxury 2015,Infiniti ,,2015,Automatic,"71,000",155000," Mar 27, 2021"
Infiniti QX80  5.6L 8s Luxury 2015,Infiniti ,,2015,Automatic,"71,000",155000," Mar 27, 2021"
Maserati Quattroporte  S Q4 2016,Maserati ,Quattroporte ,2016,Automatic,"26,000",160000," Mar 27, 2021"
Toyota Fortuner 2015,Toyota ,Fortuner ,2015,Automatic,"65,000",69000," Mar 27, 2021"
Infiniti QX56  5.6L Base + Tow Package 2010,Infiniti ,,2010,Automatic,"277,000",25000," Mar 27, 2021"
Infiniti QX56  5.6L Base + Tow Package 2010,Infiniti ,,2010,Automatic,"277,000",25000," Mar 26, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Isuzu MU-X 2015,Isuzu ,,2015,Automatic,,55000," Mar 26, 2021"
Toyota Camry 2016,Toyota ,Camry ,2016,Automatic,"53,500",50000," Mar 26, 2021"
GMC Acadia  3.6L All Wheel Drive 2010,GMC ,Acadia ,2010,Automatic,"210,000",22000," Mar 26, 2021"
Ford Expedition 2013,Ford ,Expedition ,2013,Automatic,"65,500",76000," Mar 26, 2021"
Nissan Pathfinder 2010,Nissan ,Pathfinder ,2010,Automatic,"208,750",26000," Mar 25, 2021"
Toyota Yaris Sedan  1.5L Y (CVT) 2018,Toyota ,Yaris ,2018,Automatic,"35,000",38000," Mar 25, 2021"
Toyota Fortuner 2015,Toyota ,Fortuner ,2015,Automatic,"98,400",75000," Mar 25, 2021"
Toyota Yaris 2015,Toyota ,Yaris ,2015,Automatic,"90,900",22500," Mar 25, 2021"
Nissan Pathfinder SL 4WD 2010,Nissan ,Pathfinder ,2010,Automatic,"208,750",26000," Mar 25, 2021"
Nissan Pathfinder  S 4WD 2010,Nissan ,Pathfinder ,2010,Automatic,"208,750",26000," Mar 24, 2021"
