Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"112,000",52500," Apr 08, 2021"
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"127,000",52500," Apr 08, 2021"
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"110,000",57750," Apr 08, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"51,553",20999," Apr 08, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Focus 2012,Ford ,Focus ,2012,Automatic,"125,041",16999," Apr 08, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"61,105",20999," Apr 08, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"33,643",20999," Apr 08, 2021"
Ford Taurus 2015,Ford ,Taurus ,2015,Automatic,"80,040",58999," Apr 08, 2021"
Ford Taurus 2017,Ford ,Taurus ,2017,Automatic,"5,318",95000," Apr 08, 2021"
Ford Taurus 2013,Ford ,Taurus ,2013,Automatic,"167,219",39000," Apr 08, 2021"
Ford Taurus 2014,Ford ,Taurus ,2014,Automatic,"99,421",48000," Apr 08, 2021"
Ford Taurus 2016,Ford ,Taurus ,2016,Automatic,"55,012",70000," Apr 08, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"23,172",20999," Apr 08, 2021"
Ford Fusion 2017,Ford ,Fusion ,2017,Automatic,"36,900",64999," Apr 08, 2021"
Ford Escape 2015,Ford ,Escape ,2015,Automatic,"66,323",44999," Apr 08, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"31,038",20999," Apr 08, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"20,190",20999," Apr 08, 2021"
Ford Taurus 2013,Ford ,Taurus ,2013,Automatic,"191,302",33999," Apr 08, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"26,993",20999," Apr 08, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"20,221",20999," Apr 08, 2021"
Ford Explorer 2012,Ford ,Explorer ,2012,Automatic,"136,586",44999," Apr 08, 2021"
Ford Explorer 2014,Ford ,Explorer ,2014,Automatic,"53,035",62999," Apr 08, 2021"
Lincoln MKS 2015,Lincoln ,MKS ,2015,Automatic,"22,456",79999," Apr 08, 2021"
Lincoln Continental 2017,Lincoln ,Continental ,2017,Automatic,,235999," Apr 08, 2021"
Ford Taurus 2013,Ford ,Taurus ,2013,Automatic,"147,600",39999," Apr 08, 2021"
Ford Edge 2013,Ford ,Edge ,2013,Automatic,"145,150",55999," Apr 08, 2021"
Ford Expedition 2013,Ford ,Expedition ,2013,Automatic,"105,100",53999," Apr 08, 2021"
Ford Explorer 2013,Ford ,Explorer ,2013,Automatic,"89,000",54999," Apr 08, 2021"
Ford Edge 2013,Ford ,Edge ,2013,Automatic,"157,000",43999," Apr 08, 2021"
Ford Focus 2014,Ford ,Focus ,2014,Automatic,"93,700",24999," Apr 08, 2021"
Ford Raptor 2017,Ford ,Raptor ,2017,Automatic,,299999," Apr 08, 2021"
Ford EcoSport 2014,Ford ,EcoSport ,2014,Automatic,"186,000",23000," Apr 08, 2021"
Cadillac CTS 2014,Cadillac ,CTS ,2014,Automatic,"107,024",77000," Apr 08, 2021"
Cadillac CTS 2014,Cadillac ,CTS ,2014,Automatic,"68,000",83000," Apr 08, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,,124999," Apr 08, 2021"
Ford Ranger 2016,Ford ,Ranger ,2016,Manual,"43,961",54999," Apr 08, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,,139999," Apr 08, 2021"
Ford Explorer 2016,Ford ,Explorer ,2016,Automatic,"18,900",129999," Apr 08, 2021"
Ford Explorer 2013,Ford ,Explorer ,2013,Automatic,"132,368",54999," Apr 08, 2021"
Toyota Corolla 2016,Toyota ,Corolla ,2016,Automatic,"43,814",49999," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,"1,682",134999," Apr 08, 2021"
Toyota Corolla 2016,Toyota ,Corolla ,2016,Automatic,"18,652",50000," Apr 08, 2021"
Ford Explorer 2017,Ford ,Explorer ,2017,Automatic,,135999," Apr 08, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,,144999," Apr 08, 2021"
Ford Explorer 2015,Ford ,Explorer ,2015,Automatic,"68,114",63999," Apr 08, 2021"
Ford Taurus 2017,Ford ,Taurus ,2017,Automatic,"1,606",110000," Apr 08, 2021"
Ford Fusion 2014,Ford ,Fusion ,2014,Automatic,"95,395",33000," Apr 08, 2021"
Ford Taurus 2017,Ford ,Taurus ,2017,Automatic,,109999," Apr 08, 2021"
Ford Edge 2012,Ford ,Edge ,2012,Automatic,"71,188",50400," Apr 08, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,"3,960",150150," Apr 08, 2021"
Toyota Camry 2015,Toyota ,Camry ,2015,Automatic,"39,706",52500," Apr 08, 2021"
Toyota Camry 2015,Toyota ,Camry ,2015,Automatic,"42,249",52500," Apr 08, 2021"
Toyota Camry 2015,Toyota ,Camry ,2015,Automatic,"90,109",49999," Apr 08, 2021"
Toyota Camry 2015,Toyota ,Camry ,2015,Automatic,"49,210",51999," Apr 08, 2021"
Ford Explorer 2017,Ford ,Explorer ,2017,Automatic,"14,000",159999," Apr 08, 2021"
Ford Expedition 2014,Ford ,Expedition ,2014,Automatic,"92,618",59999," Apr 08, 2021"
Ford Edge 2013,Ford ,Edge ,2013,Automatic,"18,815",51729," Apr 08, 2021"
Ford Expedition 2016,Ford ,Expedition ,2016,Automatic,"68,281",90999," Apr 08, 2021"
Ford Taurus 2015,Ford ,Taurus ,2015,Automatic,"35,000",94500," Apr 08, 2021"
Lincoln Continental 2017,Lincoln ,Continental ,2017,Automatic,"10,300",259999," Apr 08, 2021"
Lincoln Continental 2017,Lincoln ,Continental ,2017,Automatic,,284999," Apr 08, 2021"
Ford Fusion 2016,Ford ,Fusion ,2016,Automatic,"17,110",48999," Apr 08, 2021"
Ford Fusion 2016,Ford ,Fusion ,2016,Automatic,"14,505",44999," Apr 08, 2021"
Ford Focus 2013,Ford ,Focus ,2013,Automatic,"48,854",20000," Apr 08, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Focus 2016,Ford ,Focus ,2016,Automatic,"27,202",44999," Apr 08, 2021"
Ford Expedition 2016,Ford ,Expedition ,2016,Automatic,"6,214",102999," Apr 08, 2021"
Toyota Camry 2015,Toyota ,Camry ,2015,Automatic,"50,287",51450," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,134999," Apr 08, 2021"
Ford Expedition 2016,Ford ,Expedition ,2016,Automatic,"13,333",94999," Apr 08, 2021"
Lincoln Navigator 2012,Lincoln ,Navigator ,2012,Automatic,"102,500",84000," Apr 08, 2021"
Ford Taurus 2016,Ford ,Taurus ,2016,Automatic,"26,900",73000," Apr 08, 2021"
Ford Flex 2016,Ford ,Flex ,2016,Automatic,"2,700",93450," Apr 08, 2021"
Ford Ranger 2011,Ford ,Ranger ,2011,Manual,"8,184",24999," Apr 08, 2021"
Ford Expedition 2013,Ford ,Expedition ,2013,Automatic,"155,766",54999," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,109999," Apr 08, 2021"
Ford Mustang 2017,Ford ,Mustang ,2017,Automatic,"7,796",156000," Apr 08, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,"1,218",142999," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,"1,130",100500," Apr 08, 2021"
Ford Ranger 2011,Ford ,Ranger ,2011,Manual,"90,033",22999," Apr 08, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Expedition 2015,Ford ,Expedition ,2015,Automatic,"92,823",73499," Apr 08, 2021"
Ford Expedition 2013,Ford ,Expedition ,2013,Automatic,"92,409",54999," Apr 08, 2021"
Lincoln MKX 2016,Lincoln ,MKX ,2016,Automatic,"35,667",167999," Apr 08, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,"2,129",155999," Apr 08, 2021"
Ford Mustang 2017,Ford ,Mustang ,2017,Automatic,"15,878",189000," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,"1,682",134999," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,"2,774",134999," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,134999," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,129999," Apr 08, 2021"
Ford Taurus 2017,Ford ,Taurus ,2017,Automatic,"22,114",99999," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,"4,422",134999," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,111300," Apr 08, 2021"
Ford Taurus 2017,Ford ,Taurus ,2017,Automatic,"7,000",142800," Apr 08, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,"16,834",149999," Apr 08, 2021"
Ford Explorer 2013,Ford ,Explorer ,2013,Automatic,"165,500",52499," Apr 08, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"118,300",52500," Apr 08, 2021"
Ford Focus 2017,Ford ,Focus ,2017,Automatic,"1,739",42000," Apr 08, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,"1,243",165999," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,124999," Apr 08, 2021"
Ford Fusion 2015,Ford ,Fusion ,2015,Automatic,"22,603",45000," Apr 08, 2021"
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"82,604",52498," Apr 08, 2021"
Ford Edge 2012,Ford ,Edge ,2012,Automatic,"71,188",57750," Apr 08, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,,126000," Apr 08, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,"4,483",120750," Apr 08, 2021"
Ford Edge 2014,Ford ,Edge ,2014,Automatic,"56,723",59999," Apr 08, 2021"
Ford Expedition 2014,Ford ,Expedition ,2014,Automatic,"83,800",78750," Apr 08, 2021"
Ford Ranger 2016,Ford ,Ranger ,2016,Manual,"35,511",60900," Apr 08, 2021"
